tenure_years,product_count,has_direct_deposit,login_freq_90d,avg_balance_trend,nsf_count_6m,complaints_6m,cd_maturing_90d,debit_swipe_delta,churn
2.82,2,1,18,-303.66,2,0,1,14.73,0
18.06,2,1,19,-296.37,0,0,0,-17.73,0
7.9,4,1,13,470.87,2,0,0,-10.71,1
5.48,2,0,15,264.13,0,0,1,7.87,0
1.02,4,1,18,451.86,1,0,0,-1.77,0
1.02,1,0,10,669.34,0,0,0,5.06,0
0.36,3,1,23,-152.83,1,0,0,14.69,0
12.07,4,0,18,-593.7,1,0,1,12.36,0
5.51,1,0,14,-590.48,0,0,0,-16.36,0
7.39,2,0,15,-919.05,1,0,0,0.18,0
0.12,1,0,11,-229.38,3,0,0,-13.81,1
21.02,3,0,15,-192.11,1,0,0,-11.66,0
10.72,2,0,18,393.78,4,0,0,-25.66,0
1.43,3,1,19,8.46,0,0,0,2.0,0
1.2,1,1,16,-245.16,0,1,0,-26.77,0
1.22,1,1,24,-58.0,0,1,0,5.91,0
2.18,1,1,18,-519.49,5,0,0,20.38,0
4.46,2,1,13,512.7,0,0,0,7.96,0
3.39,3,1,21,-392.96,0,2,0,0.78,0
2.07,4,1,13,-569.97,0,0,0,23.02,0
5.68,3,1,16,408.94,0,0,0,4.91,0
0.9,2,1,18,287.08,2,0,0,-12.94,0
2.07,5,0,13,-861.84,0,0,0,1.88,0
2.74,3,1,14,427.5,2,0,0,29.4,0
3.65,5,0,11,-370.8,0,0,0,-16.39,0
9.23,2,1,26,-187.05,2,0,0,-20.7,0
1.34,2,0,19,93.51,0,0,0,9.22,0
4.33,1,0,26,293.31,0,1,1,-3.36,0
5.39,3,0,8,222.74,0,0,0,-7.98,0
0.29,1,0,10,-24.91,0,0,1,-18.89,0
5.61,2,1,20,-212.32,0,0,0,-29.25,0
1.12,2,0,16,206.11,0,0,0,-21.85,0
0.4,3,0,14,-59.19,0,0,1,24.22,0
17.84,3,0,22,902.68,0,0,0,-0.13,0
20.22,1,0,19,293.2,0,0,1,-29.44,0
9.91,2,1,14,-461.71,0,2,0,17.76,1
2.18,3,0,17,-238.8,1,0,0,18.52,0
0.62,5,1,19,24.1,5,0,0,18.44,1
6.92,3,0,15,649.72,0,1,0,-6.34,0
3.48,5,1,20,705.55,0,0,1,-4.03,0
0.78,3,0,17,-198.07,0,0,0,2.06,0
4.1,3,1,13,-466.82,0,1,0,21.02,1
0.21,1,1,10,-530.75,1,0,1,-8.32,1
14.4,3,0,19,126.21,0,0,1,-11.32,0
1.8,3,0,25,1151.89,0,0,0,10.44,0
6.52,3,0,14,269.55,0,0,0,18.14,0
2.24,2,1,19,-796.96,1,0,0,-0.79,0
4.4,2,1,18,-363.0,0,0,0,10.06,0
4.75,2,0,14,-311.96,3,0,1,1.69,0
1.23,2,0,20,-411.0,2,1,1,-3.77,1
20.96,1,0,23,-193.95,0,0,0,-12.44,0
8.95,4,1,25,184.7,0,0,0,-17.31,0
16.83,1,0,22,340.99,0,0,0,-9.22,0
13.51,1,1,15,545.88,0,1,0,-14.64,1
5.47,2,1,21,262.1,0,0,0,4.25,0
15.3,3,1,21,-977.08,0,0,0,18.26,0
0.56,2,1,26,-528.65,0,0,0,3.06,0
1.31,2,0,28,-79.05,0,1,0,-13.81,0
0.28,3,1,18,73.64,2,0,0,12.83,0
2.36,2,1,15,430.71,3,0,0,4.45,1
2.95,5,1,15,21.59,0,0,0,7.42,0
1.9,5,1,17,25.35,0,0,0,-7.79,0
10.59,2,0,17,118.9,0,1,0,17.0,0
2.65,2,1,15,-127.51,2,3,0,16.92,0
1.98,3,1,8,43.44,3,0,0,-2.76,0
4.69,1,0,19,562.92,0,0,0,10.78,0
0.91,2,0,13,-41.96,0,0,0,16.52,1
9.72,2,0,21,-15.11,0,0,0,-6.98,0
0.46,5,1,27,-16.79,0,0,0,-1.22,0
26.0,1,0,16,648.89,1,2,0,1.2,0
8.88,3,0,18,-554.03,0,0,0,-16.47,0
1.33,3,0,12,887.92,3,0,0,6.62,1
0.1,2,0,22,-588.19,0,1,0,15.34,1
10.14,1,1,17,-327.11,1,0,0,-2.16,0
7.36,5,0,14,372.37,0,0,0,5.1,0
7.83,2,1,34,515.16,0,0,0,20.98,0
8.85,3,1,15,-701.75,1,0,0,-6.08,0
0.46,1,1,15,-546.35,3,0,0,5.4,0
2.66,2,1,14,138.92,1,1,1,-8.55,1
0.74,2,0,20,1172.21,1,0,0,-8.96,0
11.93,1,0,17,623.13,1,1,0,5.13,0
5.86,1,0,18,-124.05,0,0,0,3.62,0
2.41,4,0,12,-1209.56,1,0,0,8.33,0
0.39,1,1,25,40.82,1,0,0,1.14,0
2.23,1,1,23,181.15,0,0,0,6.98,0
2.36,2,0,18,-191.35,0,0,1,24.98,0
7.85,3,0,23,-425.36,1,1,0,15.9,0
6.09,1,1,14,79.58,1,0,1,5.08,0
13.09,3,0,13,-471.13,0,0,0,7.57,0
3.83,1,1,14,936.22,1,0,0,-4.48,0
0.76,1,1,25,758.37,1,0,0,-2.39,0
7.49,1,1,12,328.96,0,1,0,7.39,0
8.58,4,1,16,44.86,1,1,0,1.31,0
4.94,1,0,17,-330.08,0,0,0,11.9,0
8.84,1,0,13,-10.39,0,0,0,19.01,0
4.08,2,1,22,819.65,0,0,0,-1.53,0
4.44,4,0,22,434.33,2,0,0,-30.14,0
3.35,2,0,14,101.85,0,0,0,30.51,0
0.15,2,1,22,461.99,1,0,0,-9.79,0
0.69,1,1,22,272.81,0,0,0,2.93,0
0.19,2,0,20,198.14,2,0,0,10.91,0
6.07,3,0,19,490.28,2,1,0,21.13,0
2.26,3,0,20,258.51,2,0,0,27.09,1
4.26,2,1,13,429.28,1,0,0,-5.46,0
14.29,2,0,14,80.69,2,0,0,17.85,0
1.72,1,1,16,-127.06,0,1,1,2.97,1
3.17,2,1,16,-274.08,0,1,0,41.15,0
8.45,1,1,17,-333.65,0,1,1,16.51,0
1.56,3,1,26,-802.59,1,0,0,-2.66,0
0.48,5,1,25,-455.97,0,0,1,-11.9,0
2.05,5,1,18,-470.43,0,0,0,-39.4,0
1.05,4,1,16,-253.67,2,0,0,10.12,0
15.93,3,0,21,781.12,1,3,0,15.13,0
9.91,3,1,16,-78.78,2,0,1,11.18,0
6.02,2,1,24,120.88,0,0,1,-35.3,0
12.31,3,1,20,136.66,0,0,0,-18.87,0
9.77,2,1,14,793.79,0,0,0,7.21,0
1.24,2,0,20,-287.79,0,1,0,26.78,0
13.38,3,1,23,-111.26,0,0,0,-0.83,0
4.65,2,0,13,-53.1,0,0,0,16.37,1
9.88,2,1,21,568.27,0,0,0,-15.52,1
13.59,5,1,14,672.05,0,0,0,3.11,0
2.3,1,0,20,237.29,0,0,1,-4.12,1
0.7,2,0,19,616.45,0,0,0,17.81,0
1.55,4,1,18,88.83,1,0,0,-8.1,0
3.34,3,0,18,-86.3,1,2,0,25.16,0
10.22,2,1,21,589.36,2,0,0,-4.62,0
11.83,1,0,15,243.81,0,0,0,-16.05,0
0.1,2,0,17,-367.77,4,1,0,-15.54,1
4.29,4,0,14,498.71,2,0,1,-9.34,0
3.24,3,0,16,-104.25,0,0,0,5.56,0
1.51,2,1,17,-165.41,0,0,0,-9.15,0
0.77,1,0,24,446.5,0,0,0,-12.31,0
2.47,1,1,12,-44.42,1,2,0,13.35,0
17.18,5,1,23,194.48,0,0,0,-48.17,0
2.34,2,1,23,330.97,3,0,0,-6.45,0
4.39,3,1,14,-391.47,0,0,0,-20.01,0
7.28,1,0,20,192.43,5,0,0,-13.03,1
2.71,3,0,23,674.74,2,0,0,3.66,0
21.41,5,0,23,-478.23,3,1,0,-3.08,0
19.69,3,1,24,224.95,0,1,0,-4.43,0
1.74,1,1,27,-414.73,0,0,0,17.84,1
4.13,3,0,14,510.7,1,0,0,-0.2,0
2.15,3,1,18,505.95,1,0,0,27.09,0
2.01,2,0,13,-177.16,0,0,0,10.68,0
